Netid State Recv-Q Send-Q        Local Address:Port     Peer Address:PortProcess                                  
udp   ESTAB 0      0      192.168.0.234%wlp3s0:68        192.168.0.1:67   users:(("NetworkManager",pid=666,fd=25))
tcp   ESTAB 0      0             192.168.0.234:43888 198.145.121.235:443  users:(("brave",pid=1947,fd=40))        
tcp   ESTAB 0      0             192.168.0.234:51182    185.70.42.36:443  users:(("firefox-bin",pid=4665,fd=136)) 
tcp   ESTAB 0      0             192.168.0.234:41826  146.70.246.162:4448 users:(("firefox-bin",pid=4665,fd=79))  
tcp   ESTAB 0      0             192.168.0.234:58666 198.145.121.235:443  users:(("brave",pid=1947,fd=28))        
tcp   ESTAB 0      0             192.168.0.234:50430  146.70.246.162:4448 users:(("firefox-bin",pid=4665,fd=62))  
tcp   ESTAB 0      0             192.168.0.234:41468 198.145.121.235:443  users:(("brave",pid=1947,fd=52))        
tcp   ESTAB 0      0             192.168.0.234:57284  146.70.246.162:4448 users:(("firefox-bin",pid=4665,fd=133)) 
tcp   ESTAB 0      824670        192.168.0.234:57268  146.70.246.162:4448 users:(("firefox-bin",pid=4665,fd=131)) 
tcp   ESTAB 0      0             192.168.0.234:56682  146.70.246.162:4448 users:(("firefox-bin",pid=4665,fd=93))  
tcp   ESTAB 0      0             192.168.0.234:43686 198.145.121.235:443  users:(("brave",pid=1947,fd=100))       
tcp   ESTAB 0      0             192.168.0.234:37484 198.145.121.235:443  users:(("brave",pid=1947,fd=37))        
tcp   ESTAB 0      0             192.168.0.234:58702 198.145.121.235:443  users:(("brave",pid=1947,fd=23))        
tcp   ESTAB 0      0             192.168.0.234:57724  146.70.246.162:4448 users:(("firefox-bin",pid=4665,fd=96))  
tcp   ESTAB 0      0             192.168.0.234:48470 198.145.121.235:443  users:(("brave",pid=1947,fd=92))        
tcp   ESTAB 0      0             192.168.0.234:37002 198.145.121.235:443  users:(("brave",pid=1947,fd=48))        
tcp   ESTAB 0      0             192.168.0.234:58686 198.145.121.235:443  users:(("brave",pid=1947,fd=39))        
tcp   ESTAB 0      0             192.168.0.234:49090 198.145.121.235:443  users:(("brave",pid=1947,fd=30))        
